traffic_model,origin_address,destination_address,origin_lat,origin_lng,destination_lat,destination_lng,distance,duration,duration_in_traffic,traffic_density,green_light,red_light,current_time,current_date,input_origin,input_destination
best_guess,"Silk Board junction, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","XHGC+JV7, Kempegowda, Gandhi Nagar, Bengaluru, Karnataka 560009, India",12.9165714,77.6233827,12.9765375,77.5721719,13.4 km,46 mins,59 mins,4.41,88.92,30,18:48:59,06-12-2024,"Silk Board Junction, Bengaluru","Majestic Bus Stand, Bengaluru"
optimistic,"Silk Board junction, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","XHGC+JV7, Kempegowda, Gandhi Nagar, Bengaluru, Karnataka 560009, India",12.9165714,77.6233827,12.9765375,77.5721719,13.9 km,47 mins,41 mins,2.97,71.43,30,18:49:00,06-12-2024,"Silk Board Junction, Bengaluru","Majestic Bus Stand, Bengaluru"
pessimistic,"Silk Board junction, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","XHGC+JV7, Kempegowda, Gandhi Nagar, Bengaluru, Karnataka 560009, India",12.9165714,77.6233827,12.9765375,77.5721719,13.9 km,47 mins,1 hour 36 mins,6.91,126.32,30,18:49:01,06-12-2024,"Silk Board Junction, Bengaluru","Majestic Bus Stand, Bengaluru"
best_guess,"Marathalli Brg, Bengaluru, Karnataka 560037, India","Electronic City, Bengaluru, Karnataka, India",12.9566278,77.7052217,12.8452145,77.6601695,21.7 km,42 mins,1 hour 10 mins,3.24,100.13,30,18:49:02,06-12-2024,"Marathahalli Bridge, Bengaluru","Electronic City, Bengaluru"
optimistic,"Marathalli Brg, Bengaluru, Karnataka 560037, India","Electronic City, Bengaluru, Karnataka, India",12.9566278,77.7052217,12.8452145,77.6601695,21.7 km,41 mins,41 mins,1.88,70.67,30,18:49:03,06-12-2024,"Marathahalli Bridge, Bengaluru","Electronic City, Bengaluru"
pessimistic,"Marathalli Brg, Bengaluru, Karnataka 560037, India","Electronic City, Bengaluru, Karnataka, India",12.9566278,77.7052217,12.8452145,77.6601695,21.7 km,41 mins,1 hour 27 mins,4.02,117.25,30,18:49:04,06-12-2024,"Marathahalli Bridge, Bengaluru","Electronic City, Bengaluru"
best_guess,"Sarjapur Main Rd, Bengaluru, Karnataka, India","Whitefield, Bengaluru, Karnataka, India",12.9109118,77.684418,12.9698196,77.7499721,13.4 km,34 mins,53 mins,3.98,83.22,30,18:49:05,06-12-2024,"Sarjapur Road, Bengaluru","Whitefield, Bengaluru"
optimistic,"Sarjapur Main Rd, Bengaluru, Karnataka, India","Whitefield, Bengaluru, Karnataka, India",12.9109118,77.684418,12.9698196,77.7499721,13.4 km,34 mins,34 mins,2.56,64.23,30,18:49:06,06-12-2024,"Sarjapur Road, Bengaluru","Whitefield, Bengaluru"
pessimistic,"Sarjapur Main Rd, Bengaluru, Karnataka, India","Whitefield, Bengaluru, Karnataka, India",12.9109118,77.684418,12.9698196,77.7499721,13.4 km,34 mins,1 hour 3 mins,4.68,92.58,30,18:49:07,06-12-2024,"Sarjapur Road, Bengaluru","Whitefield, Bengaluru"
best_guess,"Mysore Rd, Bengaluru, Karnataka, India","Yeswanthpur, Bengaluru, Karnataka, India",12.9015477,77.4682846,13.0250302,77.53402419999999,26.5 km,37 mins,46 mins,1.74,76.27,30,18:49:08,06-12-2024,"Mysore Road, Bengaluru","Yeshwanthpur, Bengaluru"
optimistic,"Mysore Rd, Bengaluru, Karnataka, India","Yeswanthpur, Bengaluru, Karnataka, India",12.9015477,77.4682846,13.0250302,77.53402419999999,26.5 km,37 mins,36 mins,1.37,66.25,30,18:49:08,06-12-2024,"Mysore Road, Bengaluru","Yeshwanthpur, Bengaluru"
pessimistic,"Mysore Rd, Bengaluru, Karnataka, India","Yeswanthpur, Bengaluru, Karnataka, India",12.9015477,77.4682846,13.0250302,77.53402419999999,26.5 km,37 mins,58 mins,2.18,87.92,30,18:49:09,06-12-2024,"Mysore Road, Bengaluru","Yeshwanthpur, Bengaluru"
best_guess,"Mahatma Gandhi Rd, Bengaluru, Karnataka, India","Hosakerehalli, Bengaluru, Karnataka, India",12.9747306,77.6094877,12.9221653,77.5362561,13.7 km,47 mins,1 hour 4 mins,4.63,93.52,30,18:49:11,06-12-2024,"MG Road, Bengaluru","Hosakerehalli, Bengaluru"
optimistic,"Mahatma Gandhi Rd, Bengaluru, Karnataka, India","Hosakerehalli, Bengaluru, Karnataka, India",12.9747306,77.6094877,12.9221653,77.5362561,13.1 km,45 mins,44 mins,3.35,74.0,30,18:49:12,06-12-2024,"MG Road, Bengaluru","Hosakerehalli, Bengaluru"
pessimistic,"Mahatma Gandhi Rd, Bengaluru, Karnataka, India","Hosakerehalli, Bengaluru, Karnataka, India",12.9747306,77.6094877,12.9221653,77.5362561,13.1 km,45 mins,1 hour 32 mins,7.0,121.88,30,18:49:13,06-12-2024,"MG Road, Bengaluru","Hosakerehalli, Bengaluru"
best_guess,"Ashram Chowk, NH2, Block A, Friends Colony East, New Friends Colony, New Delhi, Delhi 110065, India","Connaught Place, New Delhi, Delhi 110001, India",28.570493,77.26000499999999,28.6304203,77.21772159999999,10.8 km,25 mins,40 mins,3.74,70.4,30,18:49:14,06-12-2024,"Ashram Chowk, Delhi","Connaught Place, Delhi"
optimistic,"Ashram Chowk, NH2, Block A, Friends Colony East, New Friends Colony, New Delhi, Delhi 110065, India","Connaught Place, New Delhi, Delhi 110001, India",28.570493,77.26000499999999,28.6304203,77.21772159999999,10.8 km,25 mins,24 mins,2.2,53.78,30,18:49:15,06-12-2024,"Ashram Chowk, Delhi","Connaught Place, Delhi"
pessimistic,"Ashram Chowk, NH2, Block A, Friends Colony East, New Friends Colony, New Delhi, Delhi 110065, India","Connaught Place, New Delhi, Delhi 110001, India",28.570493,77.26000499999999,28.6304203,77.21772159999999,10.8 km,25 mins,55 mins,5.05,84.5,30,18:49:16,06-12-2024,"Ashram Chowk, Delhi","Connaught Place, Delhi"
best_guess,"Sector 21, Shahabad Mohammadpur, Delhi, India","Wave City Center, Sector 32, Noida, Uttar Pradesh 201301, India",28.5606592,77.0718052,28.5793294,77.35083449999999,39.0 km,1 hour 8 mins,1 hour 56 mins,2.99,146.43,30,18:49:17,06-12-2024,"Dwarka Sector 21, Delhi","Noida City Centre, Noida"
optimistic,"Sector 21, Shahabad Mohammadpur, Delhi, India","Wave City Center, Sector 32, Noida, Uttar Pradesh 201301, India",28.5606592,77.0718052,28.5793294,77.35083449999999,41.4 km,1 hour 9 mins,1 hour 27 mins,2.11,117.33,30,18:49:18,06-12-2024,"Dwarka Sector 21, Delhi","Noida City Centre, Noida"
pessimistic,"Sector 21, Shahabad Mohammadpur, Delhi, India","Wave City Center, Sector 32, Noida, Uttar Pradesh 201301, India",28.5606592,77.0718052,28.5793294,77.35083449999999,41.4 km,1 hour 9 mins,2 hours 17 mins,3.32,167.42,30,18:49:19,06-12-2024,"Dwarka Sector 21, Delhi","Noida City Centre, Noida"
best_guess,"Saket, New Delhi, Delhi 110017, India","Rajouri Garden, Delhi, India",28.5220971,77.2101534,28.6417002,77.12245290000001,20.0 km,42 mins,1 hour 15 mins,3.77,105.27,30,18:49:20,06-12-2024,"Saket, Delhi","Rajouri Garden, Delhi"
optimistic,"Saket, New Delhi, Delhi 110017, India","Rajouri Garden, Delhi, India",28.5220971,77.2101534,28.6417002,77.12245290000001,24.2 km,48 mins,54 mins,2.25,84.42,30,18:49:21,06-12-2024,"Saket, Delhi","Rajouri Garden, Delhi"
pessimistic,"Saket, New Delhi, Delhi 110017, India","Rajouri Garden, Delhi, India",28.5220971,77.2101534,28.6417002,77.12245290000001,24.3 km,47 mins,1 hour 46 mins,4.38,136.38,30,18:49:22,06-12-2024,"Saket, Delhi","Rajouri Garden, Delhi"
best_guess,"Vasant Kunj, New Delhi, Delhi, India","Lajpat Nagar, New Delhi, Delhi, India",28.5293121,77.1484442,28.5649034,77.2403317,13.4 km,33 mins,49 mins,3.69,79.45,30,18:49:23,06-12-2024,"Vasant Kunj, Delhi","Lajpat Nagar, Delhi"
optimistic,"Vasant Kunj, New Delhi, Delhi, India","Lajpat Nagar, New Delhi, Delhi, India",28.5293121,77.1484442,28.5649034,77.2403317,13.4 km,33 mins,37 mins,2.77,67.18,30,18:49:24,06-12-2024,"Vasant Kunj, Delhi","Lajpat Nagar, Delhi"
pessimistic,"Vasant Kunj, New Delhi, Delhi, India","Lajpat Nagar, New Delhi, Delhi, India",28.5293121,77.1484442,28.5649034,77.2403317,13.4 km,33 mins,1 hour 15 mins,5.56,104.58,30,18:49:25,06-12-2024,"Vasant Kunj, Delhi","Lajpat Nagar, Delhi"
best_guess,"Chandni Chowk, Delhi, India","Sector 13, Rohini, Delhi, India",28.6505331,77.23033699999999,28.7225368,77.12775859999999,20.7 km,43 mins,1 hour 10 mins,3.37,100.02,30,18:49:26,06-12-2024,"Chandni Chowk, Delhi","Rohini Sector 13, Delhi"
